id,class,x,y,vx,vy,timestamp_ms
563023456,Vessel,100.0,1200.0,0.0,-0.5,17000
563012345,Vessel,0.0,-940.0,0.0,30.0,18000
563023456,Vessel,100.0,1200.0,0.0,-0.5,18000
563012345,Vessel,0.0,-910.0,0.0,30.0,19000
563023456,Vessel,100.0,1200.0,0.0,-0.5,19000
563012345,Vessel,0.0,-880.0,0.0,30.0,20000
563023456,Vessel,100.0,1200.0,0.0,-0.5,20000
563012345,Vessel,0.0,-850.0,0.0,30.0,21000
563023456,Vessel,100.0,1200.0,0.0,-0.5,21000
563012345,Vessel,0.0,-820.0,0.0,30.0,22000
563023456,Vessel,100.0,1200.0,0.0,-0.5,22000
563012345,Vessel,0.0,-790.0,0.0,30.0,23000
563023456,Vessel,100.0,1200.0,0.0,-0.5,23000
563012345,Vessel,0.0,-760.0,0.0,30.0,24000
563023456,Vessel,100.0,1200.0,0.0,-0.5,24000
563012345,Vessel,0.0,-730.0,0.0,30.0,25000
563023456,Vessel,100.0,1200.0,0.0,-0.5,25000
563012345,Vessel,0.0,-700.0,0.0,30.0,26000
563023456,Vessel,100.0,1200.0,0.0,-0.5,26000
563012345,Vessel,0.0,-670.0,0.0,30.0,27000
563023456,Vessel,100.0,1200.0,0.0,-0.5,27000
563012345,Vessel,0.0,-640.0,0.0,30.0,28000
563023456,Vessel,100.0,1200.0,0.0,-0.5,28000
563012345,Vessel,0.0,-610.0,0.0,30.0,29000
563023456,Vessel,100.0,1200.0,0.0,-0.5,29000
563012345,Vessel,0.0,-580.0,0.0,30.0,30000
563012345,Vessel,0.0,-550.0,0.0,30.0,31000
563012345,Vessel,0.0,-520.0,0.0,30.0,32000
563012345,Vessel,0.0,-490.0,0.0,30.0,33000
563012345,Vessel,0.0,-460.0,0.0,30.0,34000
563012345,Vessel,0.0,-430.0,0.0,30.0,35000
563012345,Vessel,0.0,-400.0,0.0,30.0,36000
563012345,Vessel,0.0,-370.0,0.0,30.0,37000
563012345,Vessel,0.0,-340.0,0.0,30.0,38000
563012345,Vessel,0.0,-310.0,0.0,30.0,39000
563012345,Vessel,0.0,-280.0,0.0,30.0,40000
563012345,Vessel,0.0,-250.0,0.0,30.0,41000
563012345,Vessel,0.0,-220.0,0.0,30.0,42000
563012345,Vessel,0.0,-190.0,0.0,30.0,43000
563012345,Vessel,0.0,-160.0,0.0,30.0,44000
563012345,Vessel,0.0,-130.0,0.0,30.0,45000
563012345,Vessel,0.0,-100.0,0.0,30.0,46000
563012345,Vessel,0.0,-70.0,0.0,30.0,47000
563012345,Vessel,0.0,-40.0,0.0,30.0,48000
563012345,Vessel,0.0,-10.0,0.0,30.0,49000
563012345,Vessel,0.0,20.0,0.0,30.0,50000
563012345,Vessel,0.0,50.0,0.0,30.0,51000
563012345,Vessel,0.0,80.0,0.0,30.0,52000
563012345,Vessel,0.0,110.0,0.0,30.0,53000
563012345,Vessel,0.0,140.0,0.0,30.0,54000
563012345,Vessel,0.0,170.0,0.0,30.0,55000
563012345,Vessel,0.0,200.0,0.0,30.0,56000
563012345,Vessel,0.0,230.0,0.0,30.0,57000
563012345,Vessel,0.0,260.0,0.0,30.0,58000
563012345,Vessel,0.0,290.0,0.0,30.0,59000
563012345,Vessel,0.0,320.0,0.0,30.0,60000
563023456,AisGap,100.0,1200.0,600.0,0.0,60000
563012345,Vessel,0.0,350.0,0.0,30.0,61000
563012345,Vessel,0.0,380.0,0.0,30.0,62000
563012345,Vessel,0.0,410.0,0.0,30.0,63000
563012345,Vessel,0.0,440.0,0.0,30.0,64000
563012345,Vessel,0.0,470.0,0.0,30.0,65000
563012345,Vessel,0.0,500.0,0.0,30.0,66000
563012345,Vessel,0.0,530.0,0.0,30.0,67000
563012345,Vessel,0.0,560.0,0.0,30.0,68000
563012345,Vessel,0.0,590.0,0.0,30.0,69000
